Station,CTD_Pressure_Bottom,CTD_Temperature_Bottom,CTD_Conductivity_Bottom,CTD_Obs_Bottom,CTD_Altimeter_Bottom,CTD_Par_Bottom,CTD_FlECO.AFL_Bottom,CTD_Depth_Bottom,CTD_Sbeox_Bottom,CTD_Sbeox0PS_Bottom,CTD_Salinity_Bottom,CTD_SvCM_Bottom,CTD_Density_Bottom,CTD_Cast_Bottom,CTD_Pressure_Surface,CTD_Temperature_Surface,CTD_Conductivity_Surface,CTD_Obs_Surface,CTD_Altimeter_Surface,CTD_Par_Surface,CTD_FlECO.AFL_Surface,CTD_Depth_Surface,CTD_Sbeox_Surface,CTD_Sbeox0PS_Surface,CTD_Salinity_Surface,CTD_SvCM_Surface,CTD_Density_Surface,CTD_Cast_Surface
1,9.079,12.153,36600,55.7401,1.29,1.00E-12,11.7806,9,7.3256,83.182,31.6054,1493.45,1023.9665,up,2.018,12.1521,36600,8.4944,8.31,1.00E-12,6.6893,2,7.3409,83.358,31.613,1493.34,1023.9407,up
8,29.255,11.107,39200,0.9612,5.12,1.00E-12,1.286,29,8.8073,99.948,35.0133,1494.24,1026.8982,up,4.035,11.1061,39200,0.8389,30.05,31,1.1478,4,8.8495,100.426,35.0138,1493.83,1026.7852,up
9,15.661,11.106,39100,3.4599,7.08,1.00E-12,7.5217,16,8.9489,101.513,34.9503,1493.94,1026.7881,up,2.017,11.1801,39200,2.669,20.6,533,4.0124,2,8.8353,100.381,34.9485,1493.97,1026.7117,up
10,31.272,10.8997,39100,1.0473,8.19,1.00E-12,1.2425,31,8.7624,99.081,35.1396,1493.71,1027.0434,up,2.017,10.9041,39100,0.9648,36.65,304,0.4637,2,8.6188,97.466,35.1392,1493.24,1026.9105,up
12,9.079,11.372,39300,2.2828,8.9,1.00E-12,10.536,9,8.5245,97.213,34.8967,1494.69,1026.6678,up,2.017,11.3683,39300,1.9959,4.02,1.00E-12,8.0023,2,8.3782,95.537,34.8968,1494.56,1026.6369,up
14,19.167,11.0779,39100,1.029,7.23,1.47,1.8689,19,8.9746,101.769,34.9901,1493.95,1026.84,up,2.018,11.0776,39100,0.8522,23.14,68.6,1.4547,2,8.989,101.932,34.9885,1493.67,1026.7615,up
15,27.076,11,38900,3.0998,6.35,1.00E-12,3.9366,27,8.8089,99.645,34.8634,1493.65,1026.7911,up,3.026,11.1041,39000,1.1097,30.17,631,1.9251,3,8.9239,101.163,34.8535,1493.61,1026.6562,up
16,20.692,10.9676,38700,12.4684,6,1.00E-12,2.4614,21,8.5612,96.635,34.6341,1493.16,1026.5897,up,2.017,11.1097,38800,2.7384,24.22,1030,0.76,2,8.4053,95.168,34.6441,1493.36,1026.4875,up
17,28.247,10.9948,39000,0.9433,10.51,1.00E-12,3.4167,28,9.0777,102.74,34.9642,1493.78,1026.8759,up,3.026,11.0511,39000,0.648,37.59,53.9,2.4188,3,9.102,103.112,34.9261,1493.51,1026.7224,up
20,45.398,10.9779,38900,1.1773,7.12,1.00E-12,3.0358,45,9.0151,101.953,34.9005,1493.92,1026.9067,up,4.157,11.0341,39000,0.7867,47.39,43.8,1.9579,4,9.0515,102.478,34.8862,1493.42,1026.6995,up
21,21.755,10.9873,38600,13.0592,8.04,1.00E-12,3.3293,22,8.698,98.197,34.597,1493.2,1026.562,up,1.679,11.042,38700,8.2941,27.99,48.7,2.1085,2,8.6991,98.323,34.5953,1493.06,1026.4603,up
22,11.097,10.5756,38100,13.1881,4.76,1.00E-12,3.3733,11,8.9755,100.34,34.4394,1491.39,1026.4647,up,2.018,10.5762,38100,12.7074,13.74,87.7,2.7828,2,8.7291,97.587,34.4389,1491.23,1026.4231,up
23,39.346,10.9231,38600,3.8677,3.58,1.00E-12,2.06,39,8.7341,98.511,34.6621,1493.34,1026.7036,up,2.018,10.8982,38600,1.9055,40.37,60.1,1.3847,2,-9.99E-29,-9.99E-29,34.6555,1492.63,1026.5347,up
24,24.265,11.0807,38900,1.8144,8.73,1.00E-12,7.6628,24,9.5729,108.429,34.8003,1493.81,1026.7147,up,2.368,11.0751,38900,1.6015,29.3,1.00E-12,6.137,2,9.5674,108.354,34.7997,1493.43,1026.6166,down
25,29.082,10.9517,38800,1.4375,10.59,1.00E-12,10.8284,29,9.8757,111.566,34.8193,1493.46,1026.7746,up,1.7,10.9404,38800,1.2198,37.48,1.00E-12,11.9086,2,9.795,110.627,34.8184,1492.97,1026.6526,up
