StatParam,codestatistic,codestation,Fv/Fm,Sigma,NPQ,NSV,rETR,RCII,JVPII-Sigma,aLHII,JVPII-aLHII
meanoneuphoticlayer,1,9,0.26,3.98,0.15,3.61,33.39,24.5,0.48,0.24,0.72
Standerroroneuphlayer,2,9,0.85,0.65,0.38,1.68,37.92,1.99,0.36,0.38,0.99
CoefofVaroneuphotlayer,3,9,32.2,16.32,254.61,44.32,113.55,8.85,87.61,15.45,137.14
Meansurfacevalue,4,9,0.2,3.59,0.19,4.81,63.16,23.85,0.67,0.26,1.39
meanateuphoticdepth,5,9,0.41,4.86,0.4,1.52,6.94,25.96,0.12,0.19,0.11
meanvalinbottom,6,9,0.49,4.22,0.46,1.68,NA,29.81,NA,0.15,NA
dx/dZ(euphlay)x100,7,9,4.33,27.26,-3.26,-7.88,-126.83,45.31,-12.93,-1.5,-27.56
meanoneuphoticlayer,1,10,0.32,3.52,0.21,2.46,33.88,3.52,0.36,0.23,0.56
Standerroroneuphlayer,2,10,0.89,0.74,0.31,1.86,51.26,0.78,0.25,0.46,0.9
CoefofVaroneuphotlayer,3,10,27.96,21.14,149.12,44.22,15.58,22.14,68.38,17.61,145.18
Meansurfacevalue,4,10,0.23,2.88,0.28,3.44,99.67,3.76,0.5,0.22,0.19
meanateuphoticdepth,5,10,0.41,4.63,0.2,1.6,2.82,4.79,0.46,0.32,0.81
meanvalinbottom,6,10,0.41,4.43,0.95,1.28,0.82,4.53,0.25,0.29,0.29
dx/dZ(euphlay)x100,7,10,1.22,11.66,-0.56,-12.84,-645.77,11.41,-0.25,0.64,-1.24
meanoneuphoticlayer,1,15,0.29,3.96,0.99,3.38,25.87,14.3,0.27,0.12,0.29
Standerroroneuphlayer,2,15,0.12,0.61,0.9,1.94,28.87,2.16,0.48,0.24,0.39
CoefofVaroneuphotlayer,3,15,41.68,15.62,9.84,57.46,111.59,14.16,176.54,18.86,133.87
Meansurfacevalue,4,15,0.17,3.25,0.15,5.67,75.26,12.42,0.84,0.14,0.93
meanateuphoticdepth,5,15,0.47,4.35,0.17,1.14,6.13,16.68,0.51,0.93,0.5
meanvalinbottom,6,15,0.51,4.14,0.2,0.95,0.5,15.2,0.3,0.74,0.3
dx/dZ(euphlay)x100,7,15,2.94,11.14,-1.29,-44.12,-671.72,41.59,-7.7,-0.49,-8.56
meanoneuphoticlayer,1,16,0.35,3.21,0.12,2.24,57.32,5.24,0.16,0.3,0.14
Standerroroneuphlayer,2,16,0.92,0.59,0.13,0.8,66.46,1.25,0.23,0.25,0.16
CoefofVaroneuphotlayer,3,16,26.48,15.85,121.61,39.59,115.22,23.79,14.55,8.69,111.86
Meansurfacevalue,4,16,0.27,2.83,0.86,2.62,154.19,4.65,0.49,0.28,0.38
meanateuphoticdepth,5,16,0.58,3.52,0.15,0.9,13.67,7.59,0.35,0.31,0.37
meanvalinbottom,6,16,0.58,3.13,0.73,0.77,NA,13.46,0.1,0.44,0.1
dx/dZ(euphlay)x100,7,16,3.99,11.72,0.42,-29.45,-2395.68,5.24,-7.76,0.57,-5.92
meanoneuphoticlayer,1,17,0.45,4.36,0.72,1.29,25.79,14.65,0.16,0.82,0.19
Standerroroneuphlayer,2,17,0.43,0.3,0.66,0.38,12.18,1.23,0.85,0.59,0.94
CoefofVaroneuphotlayer,3,17,9.59,6.83,91.87,23.89,47.38,8.74,51.78,7.22,5.46
